source,file,abs_audio_path,onset,offset,class,left_extend_to,right_extend_to,event_duration,left_space,right_space,window_sec,segment_sec
tau,fold3_room6_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix005.wav,153.4,156.4,0,89.900001,208.899999,3.0,63.499999,52.499999,40.0,8.0
sony,fold3_room21_mix021.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix021.wav,38.9,39.5,1,2.600001,130.0,0.6,36.299999,90.5,40.0,8.0
sony,fold3_room22_mix007.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix007.wav,66.1,67.2,1,16.300001,126.1,1.1,49.799999,58.9,40.0,8.0
tau,fold3_room6_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix005.wav,212.4,213.9,1,165.900001,261.899999,1.5,46.499999,47.999999,40.0,8.0
tau,fold3_room6_mix001.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix001.wav,53.4,54.4,2,0.0,214.399999,1.0,53.4,159.999999,40.0,8.0
tau,fold3_room6_mix002.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix002.wav,191.9,192.9,2,0.0,257.784,1.0,191.9,64.884,40.0,8.0
tau,fold3_room7_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix004.wav,197.9,198.4,2,0.0,328.419,0.5,197.9,130.019,40.0,8.0
tau,fold3_room7_mix006.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix006.wav,110.9,112.4,2,0.0,330.399999,1.5,110.9,217.999999,40.0,8.0
sony,fold3_room21_mix023.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix023.wav,58.2,63.8,3,0.0,109.5,5.6,58.2,45.7,40.0,8.0
tau,fold3_room6_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix004.wav,241.4,248.9,3,0.0,289.507,7.5,241.4,40.607,40.0,8.0
tau,fold3_room9_mix002.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room9_mix002.wav,87.9,94.9,3,0.0,172.259,7.0,87.9,77.359,40.0,8.0
sony,fold3_room21_mix003.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix003.wav,75.4,76.4,4,31.700001,118.0,1.0,43.699999,41.6,40.0,8.0
sony,fold3_room21_mix015.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix015.wav,79.4,79.8,4,0.0,113.7,0.4,79.4,33.9,40.0,8.0
sony,fold3_room21_mix018.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix018.wav,56.1,57.2,4,0.0,130.0,1.1,56.1,72.8,40.0,8.0
sony,fold3_room22_mix002.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix002.wav,50.3,55.1,4,6.400001,119.5,4.8,43.899999,64.4,40.0,8.0
tau,fold3_room4_mix007.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix007.wav,63.9,65.4,4,0.0,133.899999,1.5,63.9,68.499999,40.0,8.0
tau,fold3_room4_mix007.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix007.wav,133.9,134.4,4,65.400001,180.899999,0.5,68.499999,46.499999,40.0,8.0
tau,fold3_room4_mix007.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix007.wav,180.9,181.9,4,134.400001,224.269,1.0,46.499999,42.369,40.0,8.0
tau,fold3_room6_mix001.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix001.wav,36.9,37.9,4,0.0,95.399999,1.0,36.9,57.499999,40.0,8.0
tau,fold3_room6_mix001.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix001.wav,95.4,96.4,4,37.900001,219.811,1.0,57.499999,123.411,40.0,8.0
tau,fold3_room6_mix002.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix002.wav,125.4,126.4,4,0.0,191.899999,1.0,125.4,65.499999,40.0,8.0
tau,fold3_room6_mix002.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix002.wav,191.9,193.9,4,126.400001,247.399999,2.0,65.499999,53.499999,40.0,8.0
tau,fold3_room6_mix003.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix003.wav,37.4,38.4,4,0.0,89.899999,1.0,37.4,51.499999,40.0,8.0
