source,file,abs_audio_path,onset,offset,class,left_extend_to,right_extend_to,event_duration,left_space,right_space,window_sec,segment_sec
tau,fold3_room6_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix005.wav,153.4,156.4,0,89.900001,208.899999,3.0,63.499999,52.499999,60.0,12.0
sony,fold3_room22_mix007.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix007.wav,66.1,67.2,1,16.300001,126.1,1.1,49.799999,58.9,60.0,12.0
tau,fold3_room6_mix001.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix001.wav,53.4,54.4,2,0.0,214.399999,1.0,53.4,159.999999,60.0,12.0
tau,fold3_room6_mix002.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix002.wav,191.9,192.9,2,0.0,257.784,1.0,191.9,64.884,60.0,12.0
tau,fold3_room7_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix004.wav,197.9,198.4,2,0.0,328.419,0.5,197.9,130.019,60.0,12.0
tau,fold3_room7_mix006.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix006.wav,110.9,112.4,2,0.0,330.399999,1.5,110.9,217.999999,60.0,12.0
tau,fold3_room9_mix002.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room9_mix002.wav,87.9,94.9,3,0.0,172.259,7.0,87.9,77.359,60.0,12.0
sony,fold3_room21_mix018.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix018.wav,56.1,57.2,4,0.0,130.0,1.1,56.1,72.8,60.0,12.0
tau,fold3_room4_mix007.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix007.wav,63.9,65.4,4,0.0,133.899999,1.5,63.9,68.499999,60.0,12.0
tau,fold3_room6_mix001.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix001.wav,95.4,96.4,4,37.900001,219.811,1.0,57.499999,123.411,60.0,12.0
tau,fold3_room6_mix002.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix002.wav,125.4,126.4,4,0.0,191.899999,1.0,125.4,65.499999,60.0,12.0
tau,fold3_room6_mix002.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix002.wav,191.9,193.9,4,126.400001,247.399999,2.0,65.499999,53.499999,60.0,12.0
tau,fold3_room6_mix003.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix003.wav,89.9,91.4,4,38.400001,321.933,1.5,51.499999,230.533,60.0,12.0
tau,fold3_room6_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix005.wav,156.9,157.9,4,0.0,273.997,1.0,156.9,116.097,60.0,12.0
tau,fold3_room7_mix003.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix003.wav,102.9,103.9,4,0.0,218.36,1.0,102.9,114.46,60.0,12.0
tau,fold3_room9_mix008.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room9_mix008.wav,95.4,96.4,4,0.0,213.88,1.0,95.4,117.48,60.0,12.0
sony,fold3_room22_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix005.wav,75.2,77.0,6,0.0,133.5,1.8,75.2,56.5,60.0,12.0
tau,fold3_room9_mix006.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room9_mix006.wav,76.9,78.9,6,0.0,141.899999,2.0,76.9,62.999999,60.0,12.0
tau,fold3_room4_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix004.wav,63.0,65.7,7,0.0,159.736,2.7,63.0,94.036,60.0,12.0
tau,fold3_room4_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix004.wav,49.4,58.4,10,0.0,159.736,9.0,49.4,101.336,60.0,12.0
tau,fold3_room4_mix007.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room4_mix007.wav,99.9,104.9,10,0.0,224.269,5.0,99.9,119.369,60.0,12.0
