file,win_start,win_end,win_len,class,class_name,gt_present,pred_present,correct,raw_reply
fold3_room21_mix001.wav,0.0,5.0,5,0,"Female speech, woman speaking",0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,0.0,5.0,5,1,"Male speech, man speaking",1,1,1,"{""present"": true}"
fold3_room21_mix001.wav,0.0,5.0,5,2,Clapping,0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,0.0,5.0,5,4,Laughter,1,1,1,"{""present"": true}"
fold3_room21_mix001.wav,5.0,10.0,5,0,"Female speech, woman speaking",0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,5.0,10.0,5,1,"Male speech, man speaking",1,1,1,"{""present"": true}"
fold3_room21_mix001.wav,5.0,10.0,5,2,Clapping,0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,10.0,15.0,5,0,"Female speech, woman speaking",0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,10.0,15.0,5,1,"Male speech, man speaking",1,1,1,"{""present"": true}"
fold3_room21_mix001.wav,10.0,15.0,5,2,Clapping,0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,15.0,20.0,5,0,"Female speech, woman speaking",0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,15.0,20.0,5,1,"Male speech, man speaking",1,1,1,"{""present"": true}"
fold3_room21_mix001.wav,15.0,20.0,5,2,Clapping,0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,15.0,20.0,5,4,Laughter,1,1,1,"{""present"": true}"
fold3_room21_mix001.wav,20.0,25.0,5,0,"Female speech, woman speaking",0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,20.0,25.0,5,1,"Male speech, man speaking",1,1,1,"{""present"": true}"
fold3_room21_mix001.wav,20.0,25.0,5,2,Clapping,0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,20.0,25.0,5,4,Laughter,1,1,1,"{""present"": true}"
fold3_room21_mix001.wav,25.0,30.0,5,0,"Female speech, woman speaking",0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,25.0,30.0,5,1,"Male speech, man speaking",1,1,1,"{""present"": true}"
fold3_room21_mix001.wav,25.0,30.0,5,2,Clapping,0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,30.0,35.0,5,0,"Female speech, woman speaking",0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,30.0,35.0,5,1,"Male speech, man speaking",1,1,1,"{""present"": true}"
fold3_room21_mix001.wav,30.0,35.0,5,2,Clapping,0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,35.0,40.0,5,0,"Female speech, woman speaking",0,1,0,"{""present"": true}"
