file,win_start,win_end,win_len,class,class_name,gt_present,pred_present,correct,raw_reply
fold3_room21_mix001.wav,0.0,10.0,10,0,"Female speech, woman speaking",0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,0.0,10.0,10,1,"Male speech, man speaking",1,1,1,"{""present"": true}"
fold3_room21_mix001.wav,0.0,10.0,10,2,Clapping,0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,0.0,10.0,10,4,Laughter,1,1,1,"{""present"": true}"
fold3_room21_mix001.wav,10.0,20.0,10,0,"Female speech, woman speaking",0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,10.0,20.0,10,1,"Male speech, man speaking",1,1,1,"{""present"": true}"
fold3_room21_mix001.wav,10.0,20.0,10,2,Clapping,0,0,1,"{""present"": false}"
fold3_room21_mix001.wav,10.0,20.0,10,4,Laughter,1,1,1,"{""present"": true}"
fold3_room21_mix001.wav,20.0,30.0,10,0,"Female speech, woman speaking",0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,20.0,30.0,10,1,"Male speech, man speaking",1,1,1,"{""present"": true}"
fold3_room21_mix001.wav,20.0,30.0,10,2,Clapping,0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,20.0,30.0,10,4,Laughter,1,1,1,"{""present"": true}"
fold3_room21_mix001.wav,30.0,40.0,10,0,"Female speech, woman speaking",0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,30.0,40.0,10,1,"Male speech, man speaking",1,1,1,"{""present"": true}"
fold3_room21_mix001.wav,30.0,40.0,10,2,Clapping,0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,30.0,40.0,10,4,Laughter,1,1,1,"{""present"": true}"
fold3_room21_mix001.wav,40.0,50.0,10,0,"Female speech, woman speaking",0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,40.0,50.0,10,1,"Male speech, man speaking",1,1,1,"{""present"": true}"
fold3_room21_mix001.wav,40.0,50.0,10,2,Clapping,0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,50.0,60.0,10,0,"Female speech, woman speaking",0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,50.0,60.0,10,1,"Male speech, man speaking",1,1,1,"{""present"": true}"
fold3_room21_mix001.wav,50.0,60.0,10,2,Clapping,0,0,1,"{""present"": false}"
fold3_room21_mix001.wav,60.0,70.0,10,0,"Female speech, woman speaking",0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,60.0,70.0,10,1,"Male speech, man speaking",1,1,1,"{""present"": true}"
fold3_room21_mix001.wav,60.0,70.0,10,2,Clapping,0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,70.0,80.0,10,0,"Female speech, woman speaking",0,1,0,"{""present"": true}"
fold3_room21_mix001.wav,70.0,80.0,10,1,"Male speech, man speaking",1,1,1,"{""present"": true}"
fold3_room21_mix001.wav,70.0,80.0,10,2,Clapping,0,1,0,"{""present"": true}"
