file,win_start,win_end,win_len,gt_list,pred_list,subset_acc,hamming_loss,jaccard,tp,fp,fn,raw_reply
fold3_room21_mix002.wav,0.0,10.0,10,[1],[],0.0,0.25,0.0,0,0,1,"```json
[]
```"
fold3_room21_mix002.wav,10.0,20.0,10,[1],[],0.0,0.25,0.0,0,0,1,"```json
[]
```"
fold3_room21_mix002.wav,20.0,30.0,10,[1],[],0.0,0.25,0.0,0,0,1,"```json
[]
```"
fold3_room21_mix002.wav,30.0,40.0,10,"[1, 4]",[],0.0,0.5,0.0,0,0,2,"```json
[]
```"
fold3_room21_mix002.wav,40.0,50.0,10,[1],[],0.0,0.25,0.0,0,0,1,"```json
[]
```"
fold3_room21_mix002.wav,50.0,60.0,10,"[1, 4]",[],0.0,0.5,0.0,0,0,2,"```json
[]
```"
fold3_room21_mix002.wav,60.0,70.0,10,[1],[],0.0,0.25,0.0,0,0,1,"```json
[]
```"
fold3_room21_mix002.wav,70.0,80.0,10,[1],[],0.0,0.25,0.0,0,0,1,"```json
[]
```"
fold3_room21_mix002.wav,80.0,90.0,10,[1],[],0.0,0.25,0.0,0,0,1,"```json
[]
```"
fold3_room21_mix002.wav,90.0,100.0,10,[1],[0],0.0,0.5,0.0,0,1,1,[0]
fold3_room21_mix002.wav,100.0,110.0,10,[1],[],0.0,0.25,0.0,0,0,1,"```json
[]
```"
fold3_room21_mix002.wav,110.0,120.0,10,[1],[],0.0,0.25,0.0,0,0,1,"```json
[]
```"
fold3_room21_mix002.wav,120.0,130.0,10,[1],[],0.0,0.25,0.0,0,0,1,"```json
[]
```"
fold3_room21_mix002.wav,130.0,140.0,10,"[1, 4]",[],0.0,0.5,0.0,0,0,2,"```json
[]
```"
