audio_path,class,class_name,gt_onset_sec,gt_offset_sec,window_sec,segment_index,placement,source,pred_onset_sec,raw_model_output
win_cuts/win10s/seg1/class_0/sony_fold3_room22_mix007_win10s_14.500-24.500.wav,0,"Female speech, woman speaking",0.4,2.0,10,1,right_edge,sony,4.3,{'start time': 6.89} ||| {'start time': '2.98'} ||| {'start time': '2.86'}
win_cuts/win10s/seg2/class_0/sony_fold3_room22_mix007_win10s_12.700-22.700.wav,0,"Female speech, woman speaking",2.2,3.8,10,2,center,sony,6.9,{'start time': 6.89} ||| {'start time': '6.85'} ||| {'start time': 6.89}
win_cuts/win10s/seg3/class_0/sony_fold3_room22_mix007_win10s_10.700-20.700.wav,0,"Female speech, woman speaking",4.2,5.8,10,3,center,sony,7.5,{'start time': '6.85'} ||| {'start time': 6.89} ||| {'start time': '8.65'}
win_cuts/win10s/seg4/class_0/sony_fold3_room22_mix007_win10s_8.700-18.700.wav,0,"Female speech, woman speaking",6.2,7.8,10,4,center,sony,9.0,{'start time': 9.74} ||| {'start time': '8.65'} ||| {'start time': '8.65'}
win_cuts/win10s/seg5/class_0/sony_fold3_room22_mix007_win10s_6.900-16.900.wav,0,"Female speech, woman speaking",8.0,9.6,10,5,left_edge,sony,8.7,7.68 ||| {'start time': '8.65'} ||| {'start time': '8.69'}
win_cuts/win10s/seg1/class_0/sony_fold3_room22_mix008_win10s_17.500-27.500.wav,0,"Female speech, woman speaking",0.5,2.0,10,1,right_edge,sony,2.8,{'start time': 2.86} ||| {'start time': '2.89'} ||| {'start time': 2.68}
win_cuts/win10s/seg2/class_0/sony_fold3_room22_mix008_win10s_15.750-25.750.wav,0,"Female speech, woman speaking",2.3,3.8,10,2,center,sony,4.8,{'start time': '4.79'} ||| {'start time': 4.65} ||| {'start time': '4.86'}
win_cuts/win10s/seg3/class_0/sony_fold3_room22_mix008_win10s_13.750-23.750.wav,0,"Female speech, woman speaking",4.3,5.8,10,3,center,sony,5.5,{'start time': '4.79'} ||| {'start time': 6.89} ||| {'start time': 4.65}
win_cuts/win10s/seg4/class_0/sony_fold3_room22_mix008_win10s_11.750-21.750.wav,0,"Female speech, woman speaking",6.3,7.8,10,4,center,sony,8.8,{'start time': 9.72} ||| {'start time': '6.89'} ||| {'start time': 9.74}
win_cuts/win10s/seg5/class_0/sony_fold3_room22_mix008_win10s_10.000-20.000.wav,0,"Female speech, woman speaking",8.0,9.5,10,5,left_edge,sony,9.0,{'start time': '9.72'} ||| {'start time': '8.65'} ||| {'start time': '8.67'}
win_cuts/win10s/seg1/class_0/sony_fold3_room22_mix010_win10s_65.100-75.100.wav,0,"Female speech, woman speaking",1.7,2.0,10,1,right_edge,sony,6.9,{'start time': '6.85'} ||| {'start time': '6.85'} ||| {'start time': 6.89}
win_cuts/win10s/seg2/class_0/sony_fold3_room22_mix010_win10s_63.950-73.950.wav,0,"Female speech, woman speaking",2.9,3.2,10,2,center,sony,7.8,{'start time': 6.89} ||| {'start time': '6.89'} ||| {'start time': 9.65}
win_cuts/win10s/seg3/class_0/sony_fold3_room22_mix010_win10s_61.950-71.950.wav,0,"Female speech, woman speaking",4.9,5.2,10,3,center,sony,6.9,{'start time': 6.87} ||| {'start time': 6.89} ||| {'start time': 6.87}
win_cuts/win10s/seg4/class_0/sony_fold3_room22_mix010_win10s_59.950-69.950.wav,0,"Female speech, woman speaking",6.9,7.2,10,4,center,sony,6.8,{'start time': '6.85'} ||| {'start time': 6.54} ||| {'start time': '6.89'}
win_cuts/win10s/seg5/class_0/sony_fold3_room22_mix010_win10s_58.800-68.800.wav,0,"Female speech, woman speaking",8.0,8.3,10,5,left_edge,sony,6.9,{'start time': 6.89} ||| {'start time': 6.87} ||| {'start time': 6.89}
win_cuts/win10s/seg1/class_0/sony_fold3_room22_mix011_win10s_59.100-69.100.wav,0,"Female speech, woman speaking",0.7,2.0,10,1,right_edge,sony,4.0,{'start time': 4.58} ||| {'start time': 4.58} ||| {'start time': '2.89'}
win_cuts/win10s/seg2/class_0/sony_fold3_room22_mix011_win10s_57.450-67.450.wav,0,"Female speech, woman speaking",2.4,3.7,10,2,center,sony,,7.46 ||| 7.42 ||| 7.65
win_cuts/win10s/seg3/class_0/sony_fold3_room22_mix011_win10s_55.450-65.450.wav,0,"Female speech, woman speaking",4.4,5.7,10,3,center,sony,,7.46 ||| 7.46 ||| 7.89
win_cuts/win10s/seg4/class_0/sony_fold3_room22_mix011_win10s_53.450-63.450.wav,0,"Female speech, woman speaking",6.4,7.7,10,4,center,sony,,7.86 ||| 7.68 ||| 7.68
win_cuts/win10s/seg5/class_0/sony_fold3_room22_mix011_win10s_51.800-61.800.wav,0,"Female speech, woman speaking",8.0,9.3,10,5,left_edge,sony,8.7,7.68 ||| {'start time': 8.65} ||| {'start time': '8.65'}
win_cuts/win10s/seg1/class_0/sony_fold3_room22_mix011_win10s_140.600-150.600.wav,0,"Female speech, woman speaking",1.5,2.0,10,1,right_edge,sony,2.8,{'start time': '2.86'} ||| {'start time': '2.86'} ||| {'start time': '2.68'}
win_cuts/win10s/seg2/class_0/sony_fold3_room22_mix011_win10s_139.350-149.350.wav,0,"Female speech, woman speaking",2.8,3.3,10,2,center,sony,4.4,{'start time': '4.28'} ||| {'start time': '4.25'} ||| {'start time': '4.58'}
win_cuts/win10s/seg3/class_0/sony_fold3_room22_mix011_win10s_137.350-147.350.wav,0,"Female speech, woman speaking",4.8,5.3,10,3,center,sony,5.7,{'start time': '4.79'} ||| {'start time': '7.45'} ||| {'start time': '4.79'}
win_cuts/win10s/seg4/class_0/sony_fold3_room22_mix011_win10s_135.350-145.350.wav,0,"Female speech, woman speaking",6.8,7.3,10,4,center,sony,8.1,{'start time': '8.65'} ||| {'start time': '8.65'} ||| {'start time': '6.89'}
win_cuts/win10s/seg5/class_0/sony_fold3_room22_mix011_win10s_134.100-144.100.wav,0,"Female speech, woman speaking",8.0,8.5,10,5,left_edge,sony,8.7,{'start time': '8.65'} ||| {'start time': '8.65'} ||| {'start time': '8.65'}
