file,win_start,win_end,class,gt_start,pred_start
fold3_room21_mix001.wav,0.0,60.0,1,1.1,1.48
fold3_room21_mix001.wav,0.0,60.0,4,3.7,1.54
fold3_room21_mix002.wav,0.0,60.0,1,0.8,1.55
fold3_room21_mix002.wav,0.0,60.0,4,35.8,1.78
fold3_room21_mix002.wav,60.0,120.0,1,64.1,75.4
fold3_room21_mix003.wav,0.0,60.0,1,0.8,11.45
fold3_room21_mix003.wav,0.0,60.0,4,30.1,33.6
fold3_room21_mix003.wav,0.0,60.0,8,0.0,46.2
fold3_room21_mix005.wav,0.0,60.0,1,1.1,1.6
fold3_room21_mix007.wav,0.0,60.0,1,9.7,1.61
fold3_room21_mix007.wav,0.0,60.0,8,0.0,10.2
fold3_room21_mix008.wav,0.0,60.0,1,0.2,10.28
fold3_room21_mix008.wav,60.0,120.0,1,60.0,61.76
fold3_room21_mix008.wav,60.0,120.0,4,107.3,72.1
fold3_room21_mix009.wav,0.0,60.0,5,0.0,25.0
fold3_room21_mix009.wav,0.0,60.0,8,0.0,15.0
fold3_room21_mix009.wav,0.0,60.0,11,6.5,30.0
fold3_room21_mix010.wav,0.0,60.0,1,0.5,3.0
fold3_room21_mix010.wav,0.0,60.0,5,0.0,24.0
fold3_room21_mix010.wav,0.0,60.0,8,0.0,38.0
fold3_room21_mix010.wav,0.0,60.0,11,0.1,57.0
fold3_room21_mix012.wav,0.0,60.0,1,0.0,1.45
fold3_room21_mix012.wav,0.0,60.0,4,25.4,2.5
fold3_room21_mix012.wav,0.0,60.0,8,0.0,2.8
fold3_room21_mix012.wav,60.0,120.0,1,60.6,74.0
fold3_room21_mix012.wav,60.0,120.0,4,62.8,95.0
fold3_room21_mix012.wav,60.0,120.0,8,60.0,107.0
fold3_room21_mix013.wav,0.0,60.0,1,0.1,1.25
fold3_room21_mix013.wav,0.0,60.0,4,25.4,2.5
fold3_room21_mix013.wav,0.0,60.0,8,0.0,14.9
fold3_room21_mix014.wav,0.0,60.0,1,0.3,0.33
fold3_room21_mix014.wav,0.0,60.0,4,39.2,1.23
fold3_room21_mix014.wav,0.0,60.0,8,0.0,1.53
fold3_room21_mix015.wav,0.0,60.0,1,0.1,2.98
fold3_room21_mix015.wav,0.0,60.0,8,0.0,15.42
fold3_room21_mix016.wav,0.0,60.0,1,0.0,14.31
fold3_room21_mix016.wav,0.0,60.0,3,33.5,15.4
fold3_room21_mix017.wav,0.0,60.0,1,0.3,2.337
fold3_room21_mix017.wav,0.0,60.0,8,0.0,
fold3_room21_mix017.wav,60.0,120.0,1,60.0,61.0
fold3_room21_mix017.wav,60.0,120.0,3,83.3,82.0
